,label,centroid-0,centroid-1,area,eccentricity,euler_number,extent,feret_diameter_max,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,orientation,perimeter,perimeter_crofton,solidity,sd_intensity,skew_intensity,pixelcount,mean_int,class
0,1,27.864783427495293,386.615065913371,2655,0.8099082184854132,1,0.6800717213114754,80.8084154033477,214.41755079603206,-116.58448537209046,-116.58448537209046,284.4054452920794,371.13462063575,127.68837545236144,2655.0,89248.0,3569356.0,156361012.0,73981.0,2796408.0,118938734.0,5426805942.0,2816561.0,112736154.0,4936373604.0,229175426964.0,122655715.0,5081442960.0,226462890542.0,10616542106826.0,2655.0,9.109157872444484e-12,569278.597363465,-1895800.3551747932,-1.1596057447604835e-11,309531.8086629002,-1330462.216607547,154723491.24708965,755096.4572504706,807196.7113446179,171875928.65012333,-603066968.0550121,2091654.2283637752,169881582.50054252,-150974548.51156923,76580538808.3377,0.18788060116313046,0.008407698127597868,0.00042178374390268843,1.337494300960201e-05,-9.411001547918664e-10,-1.2242783399632812e-06,-3.5143076242063216e-10,,,0.08075990613786517,-0.005219528661789203,,0.043911293925457805,-0.003663036381470881,0.008267280636637826,0.10712069502526529,0.0022223787220341366,0.00918378020932899,-0.0006253738286418765,0.005758754694658084,0.009077217080664501,-0.00015655895021852057,0.0015412046688680708,0.6395965790106131,208.5096679918781,200.3610780023235,0.9779005524861878,185.0756387190625,1.1814427948284414,2655,483.1099811676083,norm
1,2,30.32619197647553,821.9605124973745,4761,0.7654400970953392,1,0.6825806451612904,109.04127658827184,513.2448175487308,-171.3911623800834,-171.3911623800834,377.0192026592173,629.5616310437857,260.7023891641624,4761.0,256906.0,16306338.0,1124830726.0,144383.0,8606974.0,570033586.0,40189544488.0,6173575.0,387008532.0,26170554528.0,1860519103026.0,306620105.0,19808746330.0,1356638553118.0,96862788108064.0,4761.0,-3.063149733861792e-11,2443558.5763495066,-18778975.629761107,3.651834390439035e-11,815993.324091577,-12538386.546133488,979571604.3298154,1794988.4238605334,4387320.663174037,893219427.2534059,-7536958317.588644,10528757.293738546,612863007.5207784,-3166230625.077826,612621338869.1123,0.18699097252844946,0.006002400583647587,0.0013645933849885004,8.632117369823558e-05,2.4961560230776278e-08,4.077909272537887e-06,-1.595741365880825e-08,,,0.107801894045102,-0.012006777000836898,,0.0359989839067598,-0.00801671050529147,0.009076985526473236,0.07918907848334746,0.002805136013404829,0.008276822008015309,-0.0010121677097400855,0.006731807070536248,0.0056789607052594344,-0.0004252055358744858,0.0011923380247171186,0.9745345953430843,281.6223663640862,269.67626253368064,0.9853062913907285,756.1040968259271,1.3482265487437413,4761,1438.7779878176855,norm
2,3,37.134171907756816,926.5750224618149,3339,0.7757150783535632,1,0.8128042843232717,81.49233092751734,171.3500919057549,21.406292321920656,21.406292321920656,423.91551092702167,425.71696153120706,169.54864130156952,3339.0,78717.0,2427893.0,84858897.0,123991.0,2851615.0,86388011.0,2977967257.0,6019757.0,134755587.0,3950554679.0,132099928941.0,329706739.0,7213560367.0,204587159183.0,6619515625621.0,3339.0,1.3677947663381929e-12,572137.9568733155,644934.6210261967,1.1866063687193673e-11,-71475.61006289307,-399706.81023015437,-25753816.219535097,1415453.8909853252,-1851944.3070930366,183231183.3385883,-470154407.7073446,1044631.4883729026,-57288981.076305605,-343382901.3906929,-16543757546.58301,0.1782766106117929,0.005885969439488728,0.00010477237782974245,4.512418354463178e-06,-4.230743494031028e-11,-1.416180461613063e-07,8.852527358174563e-11,,,0.051317787333259916,0.001001093504453776,,-0.006410989015250271,-0.0006204410158205665,-0.0006918187607799085,0.12695882327853297,-0.0028746625719844572,0.004922096558931905,-0.00021856622195216935,0.0016215190865300352,-0.0015389405421201237,-0.00015963245735782906,-0.00013309706556165115,-0.08395736519494974,223.43860018001263,214.5145932262947,0.9823477493380406,747.3922534381466,1.7267899190993228,3339,1219.9164420485174,norm
3,4,29.278804165267047,976.8330534094727,2977,0.6499270171612473,1,0.738343253968254,78.0,191.9496229575102,15.463699808485815,15.463699808485815,327.5709078074667,329.3117516200609,190.20877914491604,2977.0,79882.0,2714912.0,104467816.0,87163.0,2292814.0,74363914.0,2741545384.0,3527207.0,89901922.0,2762392682.0,96562147096.0,165298633.0,4082745520.0,119268425272.0,3955836861142.0,2977.0,5.986322548778844e-12,571434.0275445079,951797.7397982029,4.547473508864641e-13,-46035.43432986227,-2654920.2377305613,-3990192.8899490405,975178.5925428284,-2048086.8844516003,142945452.05851158,-344958827.3848741,4922103.922196479,-54433519.804945014,-890086338.945263,-3205175985.506815,0.1745114312277383,0.0021833087317876085,0.0009255798786154716,2.712252572372298e-05,2.843093483635226e-09,9.88149321801508e-07,3.2224458536503068e-09,,,0.06447753542408807,0.0019683285079058702,,-0.0051943902615001055,-0.0054904051266703386,-0.0001512367675725531,0.11003389580365022,-0.004235466877856745,0.005417935599800727,-0.0002396300848973564,0.01017896666889408,-0.002063145770128815,-0.000618309920011002,-4.080717604446659e-05,-0.1121041615557859,217.4386001800126,208.82623653248356,0.9763857002295835,715.832047945367,0.7680251906599734,2977,1382.3721867651998,norm
4,5,18.142914816310054,1047.331853048042,2477,0.7679859257189141,1,0.7376414532459797,73.97972695272672,328.01179523395615,13.840321348004386,13.840321348004386,135.9488930783312,329.0040221483035,134.95666616398387,2477.0,87517.0,3904623.0,196799587.0,44940.0,1553531.0,65294825.0,3098204831.0,1152088.0,38893789.0,1548133755.0,69178993513.0,34397784.0,1137376787.0,43271363705.0,1832792917943.0,2477.0,5.4001247917767614e-12,812485.2167945094,1428804.3890148695,-1.9326762412674725e-12,-34282.475979006864,-3123890.6719784066,-12806231.628918905,336745.4081550263,-567646.8316539624,83862806.93867807,-78116059.71142893,1276463.0452265814,-13210547.689403854,-491665830.46172684,-3070346143.8207974,0.1873075043650736,0.006137103477875385,0.0013211360997905722,4.455507878630806e-05,-5.634144302440372e-09,-1.8400657490179337e-06,-9.225466961823896e-09,,,0.1324230097835915,0.004679050787513655,,-0.005587533850627527,-0.01023012192656066,-0.0008426424482064213,0.054884494581482104,-0.001858930708150605,0.005518122973247811,-0.00010327597546254786,0.0041801631230413,-0.0008692462052622332,-0.000650023419385418,-8.156114485926895e-05,-1.4992277390548168,200.85281374238568,193.10192498171745,0.9833267169511711,520.2391206563663,1.3531200285397138,2477,920.3734356075898,norm
5,6,34.715994323940805,1156.4771944050274,4933,0.7424217933145258,1,0.7636222910216718,105.8158778255891,533.3417158667273,134.86710939358525,134.86710939358525,339.59803528235165,602.5219476416366,270.4178035074423,4933.0,253937.0,15702939.0,1074058301.0,171254.0,8150376.0,485321236.0,32469390624.0,7620490.0,343128524.0,19732391668.0,1285606595780.0,377304572.0,16287930870.0,908099616490.0,57647126512230.0,4933.0,-5.716316309190006e-11,2630974.6843705666,-5155333.237384293,1.0800249583553523e-10,-665299.450638556,8673593.1229691,-868153851.2059469,1675237.108047841,-2959857.2873888705,826276213.9894673,-6943823620.62421,-3563359.4541353956,-420929549.929321,3511106980.9195495,-498041661581.1102,0.17695920355748615,0.004532380464249969,0.00030436222182955643,3.148432685476737e-05,3.0818742805430373e-09,2.086854754251665e-06,3.1072708571169417e-11,,,0.10811711248058534,-0.0030163307002815144,,-0.027339774861866055,0.0050748271768046894,-0.007232082134595815,0.06884209107690081,-0.0017317810495084207,0.006883224024329204,-0.0008235875573253072,-0.002084883754886118,-0.0035065179676835216,0.00041644260855569054,-0.0008410488309891429,-1.0968416021129248,280.06601717798213,268.2007509819002,0.9760585674713098,516.8185119317361,1.223159224638949,4933,919.5568619501317,norm
6,7,20.982720588235296,1348.6272058823529,2720,0.6723588217646734,1,0.8163265306122449,72.94518489934754,301.28749513408314,20.42372107482699,20.42372107482699,169.88609848075262,304.3887600290717,166.78483358576406,2720.0,86026.0,3540264.0,164706370.0,57073.0,1749507.0,68116197.0,2992036827.0,1659637.0,50106889.0,1878700107.0,79118384005.0,55251103.0,1654434513.0,60371299527.0,2462312366313.0,2720.0,-2.0406787371030077e-11,819501.9867647061,900595.4813083874,1.928412984852912e-11,-55552.52132352941,-2654231.2622220963,-45408904.63556502,462090.18786764704,-51506.023163386286,119900375.01587673,231767663.31235912,1035584.9539189538,-16386201.135024445,-624826318.4934111,-11979767023.03527,0.17322558588780723,0.0025593156050788325,0.0005513214847656784,2.244026065124273e-05,-5.889321461945957e-10,-3.3894623461535736e-07,-2.4255240639448533e-09,,,0.11076746144635409,0.0023340357485323836,,-0.007508720983392275,-0.006878860464521085,-0.002256494679074342,0.062458124441453156,-0.0001334860121143726,0.005958182880950647,0.00022083183340757182,0.0026838823348053465,-0.0008142758775657597,-0.0005953442318147815,-0.00021886320568765793,-1.420101273445108,204.2253967444162,196.29933416422307,0.9858644436389996,696.3162292219935,1.4205242884193647,2720,1060.3099264705882,norm
7,8,41.75119702074836,1851.5206596914347,5639,0.7365059906158478,1,0.7542803638309257,108.07404868885037,431.55157707855096,-172.8032426932227,-172.8032426932227,551.0558484518729,674.1459354721402,308.46149005828363,5639.0,239774.0,12628868.0,740158442.0,235435.0,10985289.0,608530481.0,36947783421.0,12937097.0,635332053.0,35975612597.0,2210952962205.0,802289347.0,40675153947.0,2330956398263.0,143926305205851.0,5639.0,4.2014391965494724e-11,2433519.3431459484,-3779052.200913798,4.936850928061176e-11,974437.4855470827,-1607324.4440738386,964948044.7113003,3107403.929420111,3870291.180962078,1228687930.7531116,-675248660.5650802,2674393.915934201,980705268.4517165,-169491383.0329734,843049087641.3802,0.17425207049661706,0.0042054142927118645,5.139541074550834e-05,2.0115854439671047e-07,4.2119447514627607e-13,6.294177828165998e-09,4.908617262882484e-13,,,0.0765298061852369,-0.0015826236615144986,,0.030644306205572385,-0.0006731290179867826,0.005381429395262913,0.09772226431138017,0.0016208334985318175,0.00685228327514546,-5.014832136982557e-05,0.001120005458126359,0.0054693060301648265,-1.2587523444534924e-05,0.0008337665821715669,0.6189423586566924,299.1370849898476,286.2812570228587,0.9573853989813242,576.7234804249549,1.3059965729561667,5639,959.173612342614,norm
8,9,17.759124087591243,1909.934306569343,2466,0.8158124924750693,1,0.85625,73.54590403278758,349.5358303585701,0.7506171523966816,0.7506171523966816,116.90548244445631,349.53825231361014,116.90306048941623,2466.0,86148.0,3871476.0,195496914.0,43794.0,1528062.0,66851108.0,3278720328.0,1066032.0,37188046.0,1591344876.0,76094715004.0,29574288.0,1030418442.0,43288173308.0,2024845574544.0,2466.0,-2.2737367544323206e-13,861955.3576642337,25959.11268580846,5.094591415399918e-12,-1851.0218978102168,-1773586.3532420462,-479604.84918329027,288288.9197080292,12702.3544141946,85204893.16881502,30251923.633601572,402976.0343118952,-1664187.7381075264,-302301030.0200805,-1469947650.7747612,0.1891489508528087,0.008899481032073421,0.000359249064628282,2.0616172875363107e-05,-1.7675622900522029e-09,-1.941028787758127e-06,-1.5367267280366412e-10,,,0.14174202366527575,8.596212900280012e-05,,-0.0003043865175980055,-0.005873130593494721,-3.1981906460125606e-05,0.04740692718753296,4.20631260400986e-05,0.005681791849916471,4.062349104864065e-05,0.0013344322768587384,-0.0001109744754726247,-0.00040594189433214425,-3.974930864824903e-05,-1.5675697196925225,201.39696961967002,193.61781710288858,0.9766336633663366,2002.3442205185463,1.7258005051062266,2466,3155.1792376317926,norm
9,10,23.210807414388942,1985.7533773169966,3183,0.8097126180656824,1,0.672938689217759,87.86353054595519,425.2194160206856,-72.10696946914719,-72.10696946914719,172.1091888862535,444.3201015691775,153.0085033377616,3183.0,132901.0,6902539.0,400413823.0,73880.0,3314256.0,175789630.0,10238577276.0,2262638.0,104400970.0,5500927368.0,314830916470.0,79415948.0,3716249628.0,193601163490.0,10849207670676.0,3183.0,5.8193450058752205e-12,1353473.401193842,-814663.5294142782,-1.0441425501994672e-11,229516.4838202955,-3590050.098147075,193960382.14611387,547823.5482249447,-726333.9545356067,164782257.86913007,-1459056379.9597921,1467439.3836890107,79991758.82260698,-877964921.726666,52383488861.80617,0.18766214417434463,0.008376108118376467,0.0004640591680626647,2.1057881697590547e-05,8.56614048683696e-10,3.885713243002999e-07,1.8972345267820765e-09,,,0.13359076846392884,-0.0014252356527659786,,0.022653776144878162,-0.0062807124786523364,0.006014549662622695,0.05407137571041579,-0.0012707050339701958,0.0051097603670752475,-0.0008019436239715439,0.0025672524329279946,0.002480477717746888,-0.0004825573437188068,0.0005103262001524657,1.3118498770459768,229.9655121145938,220.7024937584598,0.9733944954128441,840.9695844772965,0.9098251659272387,3183,1828.3666352497644,norm
