,Image signal (A.U.),filter,image_group
0,2256.179817905918,0,0
1,2069.46813353566,1,0
2,1921.6251896813353,2,0
3,1834.1874051593322,3,0
4,1763.6987860394538,4,0
5,1700.5227617602427,5,0
6,1668.5417298937784,6,0
7,1624.0477996965099,7,0
8,1582.6168437025797,8,0
9,1575.6327769347497,9,0
10,1555.5174506828528,10,0
11,1526.4810318664643,11,0
12,1494.7996965098635,12,0
13,1478.4817905918057,13,0
14,1452.2746585735963,14,0
15,1378.0311077389986,15,0
16,1317.2033383915023,16,0
17,1226.0007587253415,17,0
18,1193.3657056145676,18,0
19,1111.99468892261,19,0
20,1097.619119878604,20,0
21,1070.5720789074355,21,0
22,1052.339908952959,22,0
23,1041.1737481031867,23,0
24,1028.0493171471928,24,0
25,1022.5174506828528,25,0
26,987.2443095599393,26,0
27,983.2959028831563,27,0
28,944.9939301972686,28,0
29,912.4438543247345,29,0
30,904.1403641881639,30,0
31,844.2412746585736,31,0
32,828.8065250379362,32,0
33,817.3216995447648,33,0
34,810.6259484066768,34,0
35,807.0584218512898,35,0
36,784.7534142640365,36,0
37,779.4112291350531,37,0
38,734.0151745068285,38,0
39,723.9840667678301,39,0
40,723.9840667678301,40,0
41,723.9840667678301,41,0
42,723.9840667678301,42,0
43,723.9840667678301,43,0
44,717.0,44,0
45,717.0,45,0
46,675.0,46,0
47,675.0,47,0
48,671.0,48,0
49,634.0,49,0
50,628.0,50,0
51,628.0,51,0
52,628.0,52,0
53,628.0,53,0
54,628.0,54,0
55,628.0,55,0
56,628.0,56,0
57,628.0,57,0
58,628.0,58,0
59,576.0,59,0
60,566.0,60,0
61,493.0,61,0
62,493.0,62,0
63,458.0,63,0
64,384.0,64,0
65,366.0,65,0
66,346.0,66,0
67,313.0,67,0
68,269.0,68,0
69,257.0,69,0
70,240.0,70,0
71,240.0,71,0
72,240.0,72,0
73,240.0,73,0
74,240.0,74,0
75,240.0,75,0
76,240.0,76,0
77,240.0,77,0
78,240.0,78,0
79,240.0,79,0
80,3369.3285163776495,0,1
81,3171.5645472061656,1,1
82,2975.783718689788,2,1
83,2808.433526011561,3,1
84,2696.454238921002,4,1
85,2598.8911368015415,5,1
86,2524.03612716763,6,1
87,2479.0423892100193,7,1
88,2391.190751445087,8,1
89,2325.5077071290943,9,1
90,2248.5785163776495,10,1
91,2151.2899807321774,11,1
92,2081.4190751445085,12,1
93,2056.6893063583816,13,1
94,1995.9874759152215,14,1
95,1942.6844894026974,15,1
96,1925.6835260115606,16,1
97,1879.8911368015415,17,1
98,1850.4706165703276,18,1
99,1795.3371868978804,19,1
100,1772.3362235067436,20,1
101,1745.8106936416184,21,1
102,1727.3511560693642,22,1
103,1688.9084778420038,23,1
104,1541.9248554913295,24,1
105,1361.878612716763,25,1
106,1196.703275529865,26,1
107,1132.6030828516377,27,1
108,1076.0828516377649,28,1
109,1069.460500963391,29,1
110,1061.6445086705203,30,1
111,977.135838150289,31,1
112,856.356936416185,32,1
113,733.5616570327553,33,1
114,674.5934489402697,34,1
115,613.5163776493256,35,1
116,575.4942196531792,36,1
117,542.3203275529866,37,1
118,535.0226396917149,38,1
119,532.7817919075145,39,1
120,527.0447976878613,40,1
121,522.1156069364162,41,1
122,516.0510597302505,42,1
123,511.17148362235065,43,1
124,500.3550096339114,44,1
125,478.9234104046243,45,1
126,471.3896917148362,46,1
127,455.0712909441233,47,1
128,447.19123314065513,48,1
129,436.34922928709057,49,1
130,428.8742774566474,50,1
131,422.3670520231214,51,1
132,417.51734104046244,52,1
133,410.9219653179191,53,1
134,363.1676300578035,54,1
135,323.59441233140655,55,1
136,311.980732177264,56,1
137,311.95520231213874,57,1
138,311.92630057803467,58,1
139,304.7928709055877,59,1
140,286.6112716763006,60,1
141,277.22495183044316,61,1
142,272.6676300578035,62,1
143,261.7923892100193,63,1
144,253.65269749518305,64,1
145,249.20279383429673,65,1
146,238.9301541425819,66,1
147,234.4966281310212,67,1
148,230.09922928709057,68,1
149,228.65992292870905,69,1
150,227.11994219653178,70,1
151,224.84971098265896,71,1
152,223.95423892100192,72,1
153,222.8887283236994,73,1
154,221.9402697495183,74,1
155,221.5693641618497,75,1
156,221.03034682080926,76,1
157,220.52167630057804,77,1
158,220.25915221579962,78,1
159,220.0043352601156,79,1
160,1425.4451510333863,0,2
161,1315.3398251192368,1,2
162,1212.0703497615261,2,2
163,1133.9988076311606,3,2
164,1069.0067567567567,4,2
165,1002.3032591414944,5,2
166,956.1530206677265,6,2
167,921.9256756756756,7,2
168,890.7551669316375,8,2
169,865.441573926868,9,2
170,840.0528616852147,10,2
171,825.4101748807631,11,2
172,799.9956279809221,12,2
173,778.9848966613672,13,2
174,760.3346581875994,14,2
175,732.806438791733,15,2
176,711.579093799682,16,2
177,678.6724960254372,17,2
178,645.7189984101749,18,2
179,606.2317170111288,19,2
180,562.8139904610492,20,2
181,541.7333068362481,21,2
182,504.7845786963434,22,2
183,467.7110492845787,23,2
184,454.8744038155803,24,2
185,444.64109697933225,25,2
186,427.368839427663,26,2
187,417.14825119236883,27,2
188,407.3966613672496,28,2
189,402.3426073131956,29,2
190,400.5930047694754,30,2
191,398.95429252782196,31,2
192,398.154213036566,32,2
193,396.9356120826709,33,2
194,396.0786963434022,34,2
195,395.05127186009537,35,2
196,394.9069952305246,36,2
197,393.9137519872814,37,2
198,393.48012718600955,38,2
199,392.8211446740859,39,2
200,391.95349761526234,40,2
201,391.86089030206676,41,2
202,390.75198728139907,42,2
203,390.8183624801272,43,2
204,383.2023052464229,44,2
205,369.05842607313195,45,2
206,366.87758346581876,46,2
207,361.88990461049286,47,2
208,360.8048489666137,48,2
209,358.4598569157393,49,2
210,357.36565977742447,50,2
211,356.83903020667725,51,2
212,356.83744038155805,52,2
213,356.3759936406995,53,2
214,356.1005564387917,54,2
215,356.1196343402226,55,2
